,All food,Beef and veal,Cereals and bakery products,Dairy products,Eggs,Fats and oils,Fish and seafood,Food at home,Food away from home,Fresh fruits,Fresh fruits and vegetables,Fresh vegetables,Fruits and vegetables,Meats,"Meats, poultry, and fish",Nonalcoholic beverages,Other foods,Other meats,Pork,Poultry,Processed fruits and vegetables,Sugar and sweets,log_All food,log_Beef and veal,log_Cereals and bakery products,log_Dairy products,log_Eggs,log_Fats and oils,log_Fish and seafood,log_Food at home,log_Food away from home,log_Fresh fruits,log_Fresh fruits and vegetables,log_Fresh vegetables,log_Fruits and vegetables,log_Meats,"log_Meats, poultry, and fish",log_Nonalcoholic beverages,log_Other foods,log_Other meats,log_Pork,log_Poultry,log_Processed fruits and vegetables,log_Sugar and sweets
log_Fresh vegetables,0.23029698246709615,0.18708407401143273,0.167770576096551,0.32123296382568023,0.32246167665581654,0.15485959280621628,0.13682963448220167,0.2998782292825684,0.07422075033406374,0.4696197828968539,0.7134391880227184,0.944850030887511,0.5471180426165094,0.21390241457919726,0.20181322863214088,0.18276312074747844,0.05110223061486519,0.27537337203562867,0.09540662655444183,0.11867157173277529,-0.03671790791880206,0.028231869625712405,0.2375374634379335,0.19015504075857806,0.15781343833938946,0.39514862690436237,0.24505214294672667,0.11409989493591836,0.07631822153048369,0.3065528089309086,0.04000006586703988,0.48905945702680353,0.7400454479604556,1.0,0.4759893501748036,0.2012785576141401,0.15963934255191847,0.18363944521900077,-0.013428604121960907,0.23410487832508486,0.05568029820843799,0.05579220039037207,-0.001281453527357001,0.008085361232047922
log_Fruits and vegetables,0.494280468643731,0.14131317955840447,0.45202476027958244,0.41256200932100084,0.295296253011324,0.4108525238705703,0.4506086052187258,0.5396010181854032,0.31864041731933074,0.706676084662775,0.8177560693842246,0.5047625672578623,0.9581275780435036,0.2527258031276309,0.3201712395406318,0.3706950213334622,0.3168548228246033,0.43493637065621815,0.2563684136866866,0.37148056450675376,0.3742251104868383,0.22254181935811437,0.5389061919058318,0.19823844256171236,0.5033189722960574,0.33959741811406635,0.1940201997003577,0.46034634168422034,0.3896452286349932,0.5697320420452517,0.3332952156107517,0.6441702764843608,0.7487867171080158,0.4759893501748036,1.0,0.26695620541538384,0.2741152157034332,0.3793042016316518,0.31478684354832465,0.4516429155749817,0.25445872942985004,0.31450962309097463,0.40372304756217225,0.22980676305457004
log_Meats,0.45792654781695447,0.8646927864419873,0.3166675948507955,0.45362571710552235,0.39342600289099067,0.31854032880178595,0.49011498534984105,0.5362477155981251,0.1826901167994986,0.19689872853169713,0.24386788441972276,0.18177044360514225,0.2569679235002947,0.920438117717127,0.8874822886795551,0.2172773793816839,0.25736382903618066,0.47000937204530313,0.7239183853494526,0.5615127163212276,0.09097910663526891,0.22210157718820636,0.5967800882485585,0.9415520478802232,0.40601844334453013,0.4350538490682879,0.4328575503507205,0.37042670427408264,0.5121240035705006,0.676458282240158,0.18745257157613382,0.18833690222018173,0.24862629792230023,0.2012785576141401,0.26695620541538384,1.0,0.9526208017674385,0.23560321661645614,0.3066861055020122,0.5259278327211006,0.7299968598580289,0.681159212228995,0.16986357420882725,0.29628743699165916
"log_Meats, poultry, and fish",0.5511152385000916,0.8239105633906417,0.4132957049804554,0.5439496739821441,0.41754279147531287,0.41128051911726876,0.6107835377304666,0.6191315029683443,0.27099692298992933,0.21640191304157486,0.24023227273324033,0.14321823350948085,0.28942249843654916,0.9040378527603057,0.9391380066820855,0.2953570857702119,0.35802439080926596,0.5405290190312,0.750242595319166,0.6778969131020718,0.07067512423292296,0.26138794036983615,0.6546943853408,0.8852457374302223,0.4775636000392447,0.4926206530970704,0.4395195373617652,0.4370835758414756,0.6466365342184932,0.7118062101901353,0.27696053082084854,0.20060955157484453,0.23494282325390728,0.15963934255191847,0.2741152157034332,0.9526208017674385,1.0,0.2910973105805556,0.38788673257608325,0.5698187588197261,0.7514850031901639,0.7738763017752233,0.14413683535949728,0.29499284635281625
log_Nonalcoholic beverages,0.7986134440072319,0.04319232220797307,0.7900224912142848,0.522644297233354,0.3220776559730095,0.7444810457887329,0.43934301785744495,0.7581634639800114,0.8157404595384001,0.225857224173464,0.22853303074850911,0.18973464685991862,0.4343976165725369,0.18083808212798536,0.2926976681757095,0.9470837066135893,0.7953905397604646,0.6559810023126537,0.15473466258726182,0.5427590308015788,0.031662380870139846,0.7987091100081606,0.7807697503221218,0.10809616789310157,0.7675928236246153,0.3714354326363809,0.2081134182944959,0.6816491175636628,0.3810252484343874,0.7027026892688312,0.8020957469349337,0.16817787642980045,0.17433608615950147,0.18363944521900077,0.3793042016316518,0.23560321661645614,0.2910973105805556,1.0,0.7975570462936259,0.6052770819942321,0.1250646611545657,0.4610871110658879,0.1484913696085596,0.7541126710689916
log_Other foods,0.8302560225503064,0.13261983305489322,0.8626255665663273,0.49703190979460354,0.29128649996298694,0.8164695609926663,0.5020399888649336,0.8006760684077358,0.801867446601512,0.11806022671560525,0.12351775177758365,-0.0190333741368386,0.3584701410601924,0.2682645233801301,0.4017371051119553,0.8434580128047046,0.9471171821436588,0.6812484334922908,0.22352449311316785,0.7044553245808334,0.01664764100219948,0.8033326738781185,0.7688993218540338,0.18593011188956562,0.8122286928736094,0.29810400712409435,0.203890844356665,0.7391452472221396,0.43366938571729524,0.7079514867030934,0.7577024102072699,0.06080225101637803,0.07655784530144756,-0.013428604121960907,0.31478684354832465,0.3066861055020122,0.38788673257608325,0.7975570462936259,1.0,0.6062549086194667,0.18112192706832927,0.6230353547917064,0.1348358512763976,0.7103852531666869
log_Other meats,0.7175550658209164,0.434343777945359,0.6031387352648039,0.5152707036543911,0.45529717447250906,0.5992885723631038,0.520824306156048,0.7412561645722681,0.5788312009596318,0.27457027139354084,0.34767420794327536,0.24948903870945133,0.5041081571671634,0.5468772183897594,0.6113851375634399,0.6183194690755485,0.605235195641697,0.9226745436609225,0.31526380508177365,0.6064062372116455,0.12663586250941364,0.5856350817821203,0.747127238021887,0.42003870256443954,0.6092975731012438,0.38246630086806066,0.38570551969612027,0.5479030478870827,0.4541433952960994,0.7449562076201516,0.5864414069448602,0.1970106713582989,0.29365360066865953,0.23410487832508486,0.4516429155749817,0.5259278327211006,0.5698187588197261,0.6052770819942321,0.6062549086194667,1.0,0.22381770852434407,0.5860784054090918,0.21087917572138962,0.5846419208664206
log_Pork,0.3837329995136577,0.5107674610360875,0.23556614186568287,0.45040300707461534,0.12955771656358933,0.3000099442921718,0.5959165274610103,0.4168392189785121,0.12310290130674384,0.26069482984571524,0.2273682732146636,0.02705338127508391,0.24297851654964214,0.6760307145840233,0.7041328893504689,0.1370119034429954,0.19716972504251273,0.25346101241033886,0.9465570687485988,0.4893330875668675,0.002450526961601164,0.07513185721058586,0.4424621185101052,0.5977546919851335,0.2695514571277607,0.4286772360893518,0.17730518197591727,0.3794295216874381,0.6266771166655344,0.4670196378938278,0.10580868014039566,0.2518760501331594,0.23368595156852878,0.05568029820843799,0.25445872942985004,0.7299968598580289,0.7514850031901639,0.1250646611545657,0.18112192706832927,0.22381770852434407,1.0,0.5403155891787664,0.06469364199039955,0.10231956275317972
log_Poultry,0.6930448149287519,0.5254433875371065,0.6191088880950932,0.6256677823124958,0.4124360313614231,0.6237981763664803,0.5225197968198576,0.7238467388697435,0.5137156283802924,0.15939279330065195,0.18258626473411219,0.04721256166406498,0.3236150819177776,0.6232266946961221,0.7387907159608375,0.49658633191619533,0.6089538939339177,0.5977800563899137,0.5465079239897448,0.9250170060203416,0.004125693635566052,0.4096136114605458,0.7248299901020971,0.6053762335829742,0.6244408935995852,0.4868677026741023,0.366723827247632,0.6170701579201506,0.5286913645486696,0.734400637565482,0.5200450017268406,0.13977521573747234,0.1707117444226758,0.05579220039037207,0.31450962309097463,0.681159212228995,0.7738763017752233,0.4610871110658879,0.6230353547917064,0.5860784054090918,0.5403155891787664,1.0,0.087229991504887,0.3620427219330472
log_Processed fruits and vegetables,0.15986958238343854,0.08803585600450438,0.2652680646749128,0.11383854473375497,0.12517426928720066,0.10704364090495992,0.07524637570371794,0.21995875582336938,0.037309785736124444,0.24151137442939405,0.26786461481661045,0.07614490158784024,0.40465794131083666,0.10453991033786379,0.09110465913070216,0.09742512069175077,0.07958697538197639,0.12423810143144402,-0.01337091259392755,0.0716920181074867,0.9760536826457581,0.230515122585874,0.2492277796924971,0.15211896113020837,0.377810740660281,0.007953641683475017,0.05669832210258039,0.15946471672883727,0.10549706235177493,0.31195593678791733,0.03742027039035197,0.13782178456064234,0.1862508311395339,-0.001281453527357001,0.40372304756217225,0.16986357420882725,0.14413683535949728,0.1484913696085596,0.1348358512763976,0.21087917572138962,0.06469364199039955,0.087229991504887,1.0,0.3428791644531106
log_Sugar and sweets,0.6773745330574003,0.10231403156188891,0.7118033770525827,0.3434112230519019,0.31913173861469685,0.6587733087425737,0.3244395767232109,0.6446885232427719,0.6691547292151468,0.014599922615104788,0.04360337393836761,0.01779611017017056,0.24745884606161317,0.19734593545361775,0.2514855999842669,0.7460798843996075,0.7001034046959175,0.596165205230385,0.1027387699507994,0.41062408980043474,0.21750924685622347,0.9337320081480017,0.6938773874930855,0.20378938526576612,0.7123392578589149,0.17346232402151898,0.2722515592021685,0.5956931173767,0.278541293600059,0.6384884008720945,0.6190130439045531,-0.06301309475435467,0.005876089387514211,0.008085361232047922,0.22980676305457004,0.29628743699165916,0.29499284635281625,0.7541126710689916,0.7103852531666869,0.5846419208664206,0.10231956275317972,0.3620427219330472,0.3428791644531106,1.0
