consumer_price_index_item,month_of_forecast,year_of_forecast,year_being_forecast,attribute,forecast_percent_change
"Meats, poultry, and fish",July,2007,2008,Lower bound of prediction interval,-1.8
"Meats, poultry, and fish",July,2007,2008,Mid point of prediction interval,3.2
"Meats, poultry, and fish",July,2007,2008,Upper bound of prediction interval,8.5
"Meats, poultry, and fish",August,2007,2008,Lower bound of prediction interval,-2.8
All food,December,2007,2008,Mid point of prediction interval,3.2
"Meats, poultry, and fish",August,2007,2008,Mid point of prediction interval,1.6
"Meats, poultry, and fish",September,2007,2008,Lower bound of prediction interval,-1.5
"Meats, poultry, and fish",September,2007,2008,Mid point of prediction interval,2.5
"Meats, poultry, and fish",September,2007,2008,Upper bound of prediction interval,6.9
"Meats, poultry, and fish",October,2007,2008,Lower bound of prediction interval,-1.0
"Meats, poultry, and fish",October,2007,2008,Mid point of prediction interval,2.8
"Meats, poultry, and fish",October,2007,2008,Upper bound of prediction interval,7.0
"Meats, poultry, and fish",August,2007,2008,Upper bound of prediction interval,6.3
Eggs,November,2007,2007,Upper bound of prediction interval,29.7
Beef and veal,July,2007,2007,Lower bound of prediction interval,3.1
Eggs,November,2007,2007,Lower bound of prediction interval,25.3
Dairy products,March,2007,2007,Upper bound of forecast range,1.0
Dairy products,April,2007,2007,Lower bound of forecast range,0.5
Dairy products,April,2007,2007,Upper bound of forecast range,1.5
Dairy products,May,2007,2007,Lower bound of forecast range,1.5
Dairy products,May,2007,2007,Upper bound of forecast range,2.5
Dairy products,June,2007,2007,Lower bound of forecast range,3.5
Dairy products,June,2007,2007,Upper bound of forecast range,4.5
Dairy products,July,2007,2007,Lower bound of forecast range,4.5
Dairy products,July,2007,2007,Upper bound of forecast range,5.5
Dairy products,August,2007,2007,Lower bound of forecast range,6.0
Dairy products,August,2007,2007,Upper bound of forecast range,7.0
Dairy products,September,2007,2007,Lower bound of forecast range,7.5
Dairy products,March,2007,2007,Lower bound of forecast range,0.0
Dairy products,September,2007,2007,Upper bound of forecast range,8.5
Dairy products,October,2007,2007,Upper bound of forecast range,8.5
Dairy products,November,2007,2007,Lower bound of forecast range,7.5
Dairy products,November,2007,2007,Upper bound of forecast range,8.5
Fats and oils,January,2007,2007,Lower bound of forecast range,2.0
Fats and oils,January,2007,2007,Upper bound of forecast range,3.0
Fats and oils,February,2007,2007,Lower bound of forecast range,1.5
Fats and oils,February,2007,2007,Upper bound of forecast range,2.5
Fats and oils,March,2007,2007,Lower bound of forecast range,1.5
Fats and oils,March,2007,2007,Upper bound of forecast range,2.5
Fats and oils,April,2007,2007,Lower bound of forecast range,1.5
Fats and oils,April,2007,2007,Upper bound of forecast range,2.5
Fats and oils,May,2007,2007,Lower bound of forecast range,1.5
Dairy products,October,2007,2007,Lower bound of forecast range,7.5
Fats and oils,May,2007,2007,Upper bound of forecast range,2.5
Dairy products,February,2007,2007,Upper bound of forecast range,1.0
Dairy products,January,2007,2007,Upper bound of forecast range,1.0
Fish and seafood,October,2007,2007,Upper bound of forecast range,5.0
Fish and seafood,November,2007,2007,Lower bound of forecast range,4.0
Fish and seafood,November,2007,2007,Upper bound of forecast range,5.0
Eggs,January,2007,2007,Lower bound of forecast range,7.0
Eggs,January,2007,2007,Upper bound of forecast range,8.0
Eggs,February,2007,2007,Lower bound of forecast range,11.0
Eggs,February,2007,2007,Upper bound of forecast range,12.0
Eggs,March,2007,2007,Lower bound of forecast range,13.0
Eggs,March,2007,2007,Upper bound of forecast range,14.0
Eggs,April,2007,2007,Lower bound of forecast range,16.0
Eggs,April,2007,2007,Upper bound of forecast range,17.0
Eggs,May,2007,2007,Lower bound of forecast range,16.0
Dairy products,February,2007,2007,Lower bound of forecast range,0.0
Eggs,May,2007,2007,Upper bound of forecast range,17.0
Eggs,June,2007,2007,Upper bound of forecast range,21.0
Eggs,July,2007,2007,Lower bound of forecast range,20.0
Eggs,July,2007,2007,Upper bound of forecast range,21.0
Eggs,August,2007,2007,Lower bound of forecast range,20.0
Eggs,August,2007,2007,Upper bound of forecast range,21.0
Eggs,September,2007,2007,Lower bound of forecast range,20.0
Eggs,September,2007,2007,Upper bound of forecast range,21.0
Eggs,October,2007,2007,Lower bound of forecast range,26.0
Eggs,October,2007,2007,Upper bound of forecast range,27.0
Eggs,November,2007,2007,Lower bound of forecast range,26.0
Eggs,November,2007,2007,Upper bound of forecast range,27.0
Dairy products,January,2007,2007,Lower bound of forecast range,0.0
Eggs,June,2007,2007,Lower bound of forecast range,20.0
Fats and oils,June,2007,2007,Lower bound of forecast range,1.5
Fats and oils,June,2007,2007,Upper bound of forecast range,2.5
Fats and oils,July,2007,2007,Lower bound of forecast range,1.5
Fresh fruits & vegetables,January,2007,2007,Lower bound of forecast range,3.5
Fresh fruits & vegetables,January,2007,2007,Upper bound of forecast range,4.5
Fresh fruits & vegetables,February,2007,2007,Lower bound of forecast range,3.5
Fresh fruits & vegetables,February,2007,2007,Upper bound of forecast range,4.5
Fresh fruits & vegetables,March,2007,2007,Lower bound of forecast range,4.0
Fresh fruits & vegetables,March,2007,2007,Upper bound of forecast range,5.0
Fresh fruits & vegetables,April,2007,2007,Lower bound of forecast range,5.0
Fresh fruits & vegetables,April,2007,2007,Upper bound of forecast range,6.0
Fresh fruits & vegetables,May,2007,2007,Lower bound of forecast range,5.0
Fresh fruits & vegetables,May,2007,2007,Upper bound of forecast range,6.0
Fresh fruits & vegetables,June,2007,2007,Lower bound of forecast range,5.5
Fresh fruits & vegetables,June,2007,2007,Upper bound of forecast range,6.5
Fruits and vegetables,November,2007,2007,Upper bound of forecast range,4.0
Fresh fruits & vegetables,July,2007,2007,Lower bound of forecast range,5.0
Fresh fruits & vegetables,August,2007,2007,Lower bound of forecast range,3.5
Fresh fruits & vegetables,August,2007,2007,Upper bound of forecast range,4.5
Fresh fruits & vegetables,September,2007,2007,Lower bound of forecast range,3.0
Fresh fruits & vegetables,September,2007,2007,Upper bound of forecast range,4.0
Fresh fruits & vegetables,October,2007,2007,Lower bound of forecast range,2.0
Fresh fruits & vegetables,October,2007,2007,Upper bound of forecast range,3.0
Fresh fruits & vegetables,November,2007,2007,Lower bound of forecast range,2.0
Fresh fruits & vegetables,November,2007,2007,Upper bound of forecast range,3.0
Fresh fruits,January,2007,2007,Lower bound of forecast range,3.5
Fresh fruits,January,2007,2007,Upper bound of forecast range,4.5
Fresh fruits,February,2007,2007,Lower bound of forecast range,3.5
Fresh fruits,February,2007,2007,Upper bound of forecast range,4.5
Fresh fruits & vegetables,July,2007,2007,Upper bound of forecast range,6.0
Fruits and vegetables,November,2007,2007,Lower bound of forecast range,3.0
Fruits and vegetables,October,2007,2007,Upper bound of forecast range,4.0
Fruits and vegetables,October,2007,2007,Lower bound of forecast range,3.0
Fats and oils,July,2007,2007,Upper bound of forecast range,2.5
Fats and oils,August,2007,2007,Lower bound of forecast range,2.5
Fats and oils,August,2007,2007,Upper bound of forecast range,3.5
Fats and oils,September,2007,2007,Lower bound of forecast range,2.5
Fats and oils,September,2007,2007,Upper bound of forecast range,3.5
Fats and oils,October,2007,2007,Lower bound of forecast range,2.5
Fats and oils,October,2007,2007,Upper bound of forecast range,3.5
Fats and oils,November,2007,2007,Lower bound of forecast range,2.5
Fats and oils,November,2007,2007,Upper bound of forecast range,3.5
Fruits and vegetables,January,2007,2007,Lower bound of forecast range,3.0
Fruits and vegetables,January,2007,2007,Upper bound of forecast range,4.0
Fruits and vegetables,February,2007,2007,Lower bound of forecast range,3.0
Fruits and vegetables,February,2007,2007,Upper bound of forecast range,4.0
Fruits and vegetables,March,2007,2007,Lower bound of forecast range,3.5
Fruits and vegetables,March,2007,2007,Upper bound of forecast range,4.5
Fruits and vegetables,April,2007,2007,Lower bound of forecast range,4.5
Fruits and vegetables,April,2007,2007,Upper bound of forecast range,5.5
Fruits and vegetables,May,2007,2007,Lower bound of forecast range,5.0
Fruits and vegetables,May,2007,2007,Upper bound of forecast range,6.0
Fruits and vegetables,June,2007,2007,Lower bound of forecast range,5.5
Fruits and vegetables,June,2007,2007,Upper bound of forecast range,6.5
Fruits and vegetables,July,2007,2007,Lower bound of forecast range,5.0
Fruits and vegetables,July,2007,2007,Upper bound of forecast range,6.0
Fruits and vegetables,August,2007,2007,Lower bound of forecast range,3.5
Fruits and vegetables,August,2007,2007,Upper bound of forecast range,4.5
Fruits and vegetables,September,2007,2007,Lower bound of forecast range,3.5
Fruits and vegetables,September,2007,2007,Upper bound of forecast range,4.5
Fish and seafood,October,2007,2007,Lower bound of forecast range,4.0
Fresh fruits,March,2007,2007,Lower bound of forecast range,4.5
Fish and seafood,September,2007,2007,Upper bound of forecast range,5.0
Fish and seafood,August,2007,2007,Upper bound of forecast range,6.0
Beef and veal,September,2007,2007,Lower bound of forecast range,3.0
Beef and veal,September,2007,2007,Upper bound of forecast range,4.0
Beef and veal,October,2007,2007,Lower bound of forecast range,3.5
Beef and veal,October,2007,2007,Upper bound of forecast range,4.5
Beef and veal,November,2007,2007,Lower bound of forecast range,3.5
Beef and veal,November,2007,2007,Upper bound of forecast range,4.5
Pork,January,2007,2007,Lower bound of forecast range,-2.0
Pork,January,2007,2007,Upper bound of forecast range,-1.0
Pork,February,2007,2007,Lower bound of forecast range,-2.0
Pork,February,2007,2007,Upper bound of forecast range,-1.0
Pork,March,2007,2007,Lower bound of forecast range,-2.0
Pork,March,2007,2007,Upper bound of forecast range,-1.0
Beef and veal,August,2007,2007,Upper bound of forecast range,4.0
Pork,April,2007,2007,Lower bound of forecast range,0.0
Pork,May,2007,2007,Lower bound of forecast range,0.0
Pork,May,2007,2007,Upper bound of forecast range,1.0
Pork,June,2007,2007,Lower bound of forecast range,0.5
Pork,June,2007,2007,Upper bound of forecast range,1.5
Pork,July,2007,2007,Lower bound of forecast range,1.0
Pork,July,2007,2007,Upper bound of forecast range,2.0
Pork,August,2007,2007,Lower bound of forecast range,1.0
Pork,August,2007,2007,Upper bound of forecast range,2.0
Pork,September,2007,2007,Lower bound of forecast range,1.5
Pork,September,2007,2007,Upper bound of forecast range,2.5
Pork,October,2007,2007,Lower bound of forecast range,1.5
Pork,October,2007,2007,Upper bound of forecast range,2.5
Pork,April,2007,2007,Upper bound of forecast range,1.0
Pork,November,2007,2007,Lower bound of forecast range,1.5
Beef and veal,August,2007,2007,Lower bound of forecast range,3.0
Beef and veal,July,2007,2007,Lower bound of forecast range,2.5
Meats,May,2007,2007,Lower bound of forecast range,1.0
Meats,May,2007,2007,Upper bound of forecast range,2.0
Meats,June,2007,2007,Lower bound of forecast range,1.5
Meats,June,2007,2007,Upper bound of forecast range,2.5
Meats,July,2007,2007,Lower bound of forecast range,2.0
Meats,July,2007,2007,Upper bound of forecast range,3.0
Meats,August,2007,2007,Lower bound of forecast range,2.0
Meats,August,2007,2007,Upper bound of forecast range,3.0
Meats,September,2007,2007,Lower bound of forecast range,2.0
Meats,September,2007,2007,Upper bound of forecast range,3.0
Meats,October,2007,2007,Lower bound of forecast range,2.5
Meats,October,2007,2007,Upper bound of forecast range,3.5
Beef and veal,July,2007,2007,Upper bound of forecast range,3.5
Meats,November,2007,2007,Lower bound of forecast range,2.5
Beef and veal,January,2007,2007,Lower bound of forecast range,0.0
Beef and veal,January,2007,2007,Upper bound of forecast range,1.0
Beef and veal,February,2007,2007,Lower bound of forecast range,0.0
Beef and veal,February,2007,2007,Upper bound of forecast range,1.0
Beef and veal,March,2007,2007,Lower bound of forecast range,0.0
Beef and veal,March,2007,2007,Upper bound of forecast range,1.0
Beef and veal,April,2007,2007,Lower bound of forecast range,1.0
Beef and veal,April,2007,2007,Upper bound of forecast range,2.0
Beef and veal,May,2007,2007,Lower bound of forecast range,1.5
Beef and veal,May,2007,2007,Upper bound of forecast range,2.5
Beef and veal,June,2007,2007,Lower bound of forecast range,2.5
Beef and veal,June,2007,2007,Upper bound of forecast range,3.5
Meats,November,2007,2007,Upper bound of forecast range,3.5
Pork,November,2007,2007,Upper bound of forecast range,2.5
Other meats,January,2007,2007,Lower bound of forecast range,-1.5
Other meats,January,2007,2007,Upper bound of forecast range,-0.5
Poultry,June,2007,2007,Upper bound of forecast range,3.0
Poultry,July,2007,2007,Lower bound of forecast range,2.5
Poultry,July,2007,2007,Upper bound of forecast range,3.5
Poultry,August,2007,2007,Lower bound of forecast range,3.0
Poultry,August,2007,2007,Upper bound of forecast range,4.0
Poultry,September,2007,2007,Lower bound of forecast range,4.0
Poultry,September,2007,2007,Upper bound of forecast range,5.0
Poultry,October,2007,2007,Lower bound of forecast range,4.0
Poultry,October,2007,2007,Upper bound of forecast range,5.0
Poultry,November,2007,2007,Lower bound of forecast range,4.5
Poultry,November,2007,2007,Upper bound of forecast range,5.5
Fish and seafood,January,2007,2007,Lower bound of forecast range,3.5
Poultry,June,2007,2007,Lower bound of forecast range,2.0
Fish and seafood,January,2007,2007,Upper bound of forecast range,4.5
Fish and seafood,February,2007,2007,Upper bound of forecast range,4.5
Fish and seafood,March,2007,2007,Lower bound of forecast range,3.5
Fish and seafood,March,2007,2007,Upper bound of forecast range,4.5
Fish and seafood,April,2007,2007,Lower bound of forecast range,3.5
Fish and seafood,April,2007,2007,Upper bound of forecast range,4.5
Fish and seafood,May,2007,2007,Lower bound of forecast range,4.0
Fish and seafood,May,2007,2007,Upper bound of forecast range,5.0
Fish and seafood,June,2007,2007,Lower bound of forecast range,5.0
Fish and seafood,June,2007,2007,Upper bound of forecast range,6.0
Fish and seafood,July,2007,2007,Lower bound of forecast range,5.0
Fish and seafood,July,2007,2007,Upper bound of forecast range,6.0
Fish and seafood,August,2007,2007,Lower bound of forecast range,5.0
Fish and seafood,February,2007,2007,Lower bound of forecast range,3.5
Poultry,May,2007,2007,Upper bound of forecast range,2.5
Poultry,May,2007,2007,Lower bound of forecast range,1.5
Poultry,April,2007,2007,Upper bound of forecast range,2.5
Other meats,February,2007,2007,Lower bound of forecast range,0.0
Other meats,February,2007,2007,Upper bound of forecast range,1.0
Other meats,March,2007,2007,Lower bound of forecast range,0.0
Other meats,March,2007,2007,Upper bound of forecast range,1.0
Other meats,April,2007,2007,Lower bound of forecast range,1.0
Other meats,April,2007,2007,Upper bound of forecast range,2.0
Other meats,May,2007,2007,Lower bound of forecast range,1.0
Other meats,May,2007,2007,Upper bound of forecast range,2.0
Other meats,June,2007,2007,Lower bound of forecast range,1.0
Other meats,June,2007,2007,Upper bound of forecast range,2.0
Other meats,July,2007,2007,Lower bound of forecast range,1.0
Other meats,July,2007,2007,Upper bound of forecast range,2.0
Other meats,August,2007,2007,Lower bound of forecast range,1.0
Other meats,August,2007,2007,Upper bound of forecast range,2.0
Other meats,September,2007,2007,Lower bound of forecast range,1.0
Other meats,September,2007,2007,Upper bound of forecast range,2.0
Other meats,October,2007,2007,Lower bound of forecast range,1.0
Other meats,October,2007,2007,Upper bound of forecast range,2.0
Other meats,November,2007,2007,Lower bound of forecast range,1.0
Other meats,November,2007,2007,Upper bound of forecast range,2.0
Poultry,January,2007,2007,Lower bound of forecast range,1.0
Poultry,January,2007,2007,Upper bound of forecast range,2.0
Poultry,February,2007,2007,Lower bound of forecast range,1.0
Poultry,February,2007,2007,Upper bound of forecast range,2.0
Poultry,March,2007,2007,Lower bound of forecast range,1.0
Poultry,March,2007,2007,Upper bound of forecast range,2.0
Poultry,April,2007,2007,Lower bound of forecast range,1.5
Fish and seafood,September,2007,2007,Lower bound of forecast range,4.0
Fresh fruits,March,2007,2007,Upper bound of forecast range,5.5
Fresh fruits,April,2007,2007,Lower bound of forecast range,5.0
Fresh fruits,April,2007,2007,Upper bound of forecast range,6.0
All food,October,2007,2008,Lower bound of forecast range,3.0
All food,October,2007,2008,Upper bound of forecast range,4.0
All food,November,2007,2008,Lower bound of forecast range,3.0
All food,November,2007,2008,Upper bound of forecast range,4.0
All food,December,2007,2008,Lower bound of forecast range,3.0
All food,December,2007,2008,Upper bound of forecast range,4.0
Food away from home,July,2007,2008,Lower bound of forecast range,2.5
Food away from home,July,2007,2008,Upper bound of forecast range,3.5
Food away from home,August,2007,2008,Lower bound of forecast range,2.5
Food away from home,August,2007,2008,Upper bound of forecast range,3.5
Food away from home,September,2007,2008,Lower bound of forecast range,2.5
Food away from home,September,2007,2008,Upper bound of forecast range,3.5
All food,September,2007,2008,Upper bound of forecast range,4.0
Food away from home,October,2007,2008,Lower bound of forecast range,2.5
Food away from home,November,2007,2008,Lower bound of forecast range,2.5
Food away from home,November,2007,2008,Upper bound of forecast range,3.5
Food away from home,December,2007,2008,Lower bound of forecast range,2.5
Food away from home,December,2007,2008,Upper bound of forecast range,3.5
Food at home,July,2007,2008,Lower bound of forecast range,2.5
Food at home,July,2007,2008,Upper bound of forecast range,3.5
Food at home,August,2007,2008,Lower bound of forecast range,2.5
Food at home,August,2007,2008,Upper bound of forecast range,3.5
Food at home,September,2007,2008,Lower bound of forecast range,3.0
Food at home,September,2007,2008,Upper bound of forecast range,4.0
Food at home,October,2007,2008,Lower bound of forecast range,3.0
Food at home,October,2007,2008,Upper bound of forecast range,4.0
Food away from home,October,2007,2008,Upper bound of forecast range,3.5
Food at home,November,2007,2008,Lower bound of forecast range,3.0
All food,September,2007,2008,Lower bound of forecast range,3.0
All food,August,2007,2008,Lower bound of forecast range,2.5
Nonalcoholic beverages,November,2007,2007,Lower bound of forecast range,4.0
Nonalcoholic beverages,November,2007,2007,Upper bound of forecast range,5.0
Other foods,January,2007,2007,Lower bound of forecast range,0.5
Other foods,January,2007,2007,Upper bound of forecast range,1.5
Other foods,February,2007,2007,Lower bound of forecast range,0.5
Other foods,February,2007,2007,Upper bound of forecast range,1.5
Other foods,March,2007,2007,Lower bound of forecast range,0.5
Other foods,March,2007,2007,Upper bound of forecast range,1.5
Other foods,April,2007,2007,Lower bound of forecast range,0.5
Other foods,April,2007,2007,Upper bound of forecast range,1.5
Other foods,May,2007,2007,Lower bound of forecast range,1.5
Other foods,May,2007,2007,Upper bound of forecast range,2.5
All food,August,2007,2008,Upper bound of forecast range,3.5
Other foods,June,2007,2007,Lower bound of forecast range,1.5
Other foods,July,2007,2007,Lower bound of forecast range,1.5
Other foods,July,2007,2007,Upper bound of forecast range,2.5
Other foods,August,2007,2007,Lower bound of forecast range,1.5
Other foods,August,2007,2007,Upper bound of forecast range,2.5
Other foods,September,2007,2007,Lower bound of forecast range,1.5
Other foods,September,2007,2007,Upper bound of forecast range,2.5
Other foods,October,2007,2007,Lower bound of forecast range,1.5
Other foods,October,2007,2007,Upper bound of forecast range,2.5
Other foods,November,2007,2007,Lower bound of forecast range,1.5
Other foods,November,2007,2007,Upper bound of forecast range,2.5
All food,July,2007,2008,Lower bound of forecast range,2.5
All food,July,2007,2008,Upper bound of forecast range,3.5
Other foods,June,2007,2007,Upper bound of forecast range,2.5
Food at home,November,2007,2008,Upper bound of forecast range,4.0
Food at home,December,2007,2008,Lower bound of forecast range,3.5
Food at home,December,2007,2008,Upper bound of forecast range,4.5
Beef and veal,October,2007,2008,Upper bound of forecast range,3.0
Beef and veal,November,2007,2008,Lower bound of forecast range,2.0
Beef and veal,November,2007,2008,Upper bound of forecast range,3.0
Beef and veal,December,2007,2008,Lower bound of forecast range,2.0
Beef and veal,December,2007,2008,Upper bound of forecast range,3.0
Pork,July,2007,2008,Lower bound of forecast range,1.0
Pork,July,2007,2008,Upper bound of forecast range,2.0
Pork,August,2007,2008,Lower bound of forecast range,1.0
Pork,August,2007,2008,Upper bound of forecast range,2.0
Pork,September,2007,2008,Lower bound of forecast range,1.0
Pork,September,2007,2008,Upper bound of forecast range,2.0
Pork,October,2007,2008,Lower bound of forecast range,1.0
Beef and veal,October,2007,2008,Lower bound of forecast range,2.0
Pork,October,2007,2008,Upper bound of forecast range,2.0
Pork,November,2007,2008,Upper bound of forecast range,2.0
Pork,December,2007,2008,Lower bound of forecast range,1.0
Pork,December,2007,2008,Upper bound of forecast range,2.0
Other meats,July,2007,2008,Lower bound of forecast range,0.0
Other meats,July,2007,2008,Upper bound of forecast range,1.0
Other meats,August,2007,2008,Lower bound of forecast range,0.0
Other meats,August,2007,2008,Upper bound of forecast range,1.0
Other meats,September,2007,2008,Lower bound of forecast range,0.0
Other meats,September,2007,2008,Upper bound of forecast range,1.0
Other meats,October,2007,2008,Lower bound of forecast range,0.0
Other meats,October,2007,2008,Upper bound of forecast range,1.0
Other meats,November,2007,2008,Lower bound of forecast range,0.0
Pork,November,2007,2008,Lower bound of forecast range,1.0
Beef and veal,September,2007,2008,Upper bound of forecast range,3.0
Beef and veal,September,2007,2008,Lower bound of forecast range,2.0
Beef and veal,August,2007,2008,Upper bound of forecast range,3.0
"Meats, poultry, and fish",July,2007,2008,Lower bound of forecast range,2.0
"Meats, poultry, and fish",July,2007,2008,Upper bound of forecast range,3.0
"Meats, poultry, and fish",August,2007,2008,Lower bound of forecast range,2.0
"Meats, poultry, and fish",August,2007,2008,Upper bound of forecast range,3.0
"Meats, poultry, and fish",September,2007,2008,Lower bound of forecast range,2.0
"Meats, poultry, and fish",September,2007,2008,Upper bound of forecast range,3.0
"Meats, poultry, and fish",October,2007,2008,Lower bound of forecast range,2.0
"Meats, poultry, and fish",October,2007,2008,Upper bound of forecast range,3.0
"Meats, poultry, and fish",November,2007,2008,Lower bound of forecast range,2.0
"Meats, poultry, and fish",November,2007,2008,Upper bound of forecast range,3.0
"Meats, poultry, and fish",December,2007,2008,Lower bound of forecast range,2.0
"Meats, poultry, and fish",December,2007,2008,Upper bound of forecast range,3.0
Meats,July,2007,2008,Lower bound of forecast range,1.5
Meats,July,2007,2008,Upper bound of forecast range,2.5
Meats,August,2007,2008,Lower bound of forecast range,1.5
Meats,August,2007,2008,Upper bound of forecast range,2.5
Meats,September,2007,2008,Lower bound of forecast range,1.5
Meats,September,2007,2008,Upper bound of forecast range,2.5
Meats,October,2007,2008,Lower bound of forecast range,1.5
Meats,October,2007,2008,Upper bound of forecast range,2.5
Meats,November,2007,2008,Lower bound of forecast range,1.5
Meats,November,2007,2008,Upper bound of forecast range,2.5
Meats,December,2007,2008,Lower bound of forecast range,1.5
Meats,December,2007,2008,Upper bound of forecast range,2.5
Beef and veal,July,2007,2008,Lower bound of forecast range,2.0
Beef and veal,July,2007,2008,Upper bound of forecast range,3.0
Beef and veal,August,2007,2008,Lower bound of forecast range,2.0
Nonalcoholic beverages,October,2007,2007,Upper bound of forecast range,5.0
Nonalcoholic beverages,October,2007,2007,Lower bound of forecast range,4.0
Nonalcoholic beverages,September,2007,2007,Upper bound of forecast range,5.0
Nonalcoholic beverages,September,2007,2007,Lower bound of forecast range,4.0
Fresh vegetables,September,2007,2007,Upper bound of forecast range,3.5
Fresh vegetables,October,2007,2007,Lower bound of forecast range,1.5
Fresh vegetables,October,2007,2007,Upper bound of forecast range,2.5
Fresh vegetables,November,2007,2007,Lower bound of forecast range,1.5
Fresh vegetables,November,2007,2007,Upper bound of forecast range,2.5
Processed fruits & vegetables,January,2007,2007,Lower bound of forecast range,2.5
Processed fruits & vegetables,January,2007,2007,Upper bound of forecast range,3.5
Processed fruits & vegetables,February,2007,2007,Lower bound of forecast range,2.5
Processed fruits & vegetables,February,2007,2007,Upper bound of forecast range,3.5
Processed fruits & vegetables,March,2007,2007,Lower bound of forecast range,2.5
Processed fruits & vegetables,March,2007,2007,Upper bound of forecast range,3.5
Processed fruits & vegetables,April,2007,2007,Lower bound of forecast range,2.5
Fresh vegetables,September,2007,2007,Lower bound of forecast range,2.5
Processed fruits & vegetables,April,2007,2007,Upper bound of forecast range,3.5
Processed fruits & vegetables,May,2007,2007,Upper bound of forecast range,3.5
Processed fruits & vegetables,June,2007,2007,Lower bound of forecast range,2.5
Processed fruits & vegetables,June,2007,2007,Upper bound of forecast range,3.5
Processed fruits & vegetables,July,2007,2007,Lower bound of forecast range,2.5
Processed fruits & vegetables,July,2007,2007,Upper bound of forecast range,3.5
Processed fruits & vegetables,August,2007,2007,Lower bound of forecast range,2.5
Processed fruits & vegetables,August,2007,2007,Upper bound of forecast range,3.5
Processed fruits & vegetables,September,2007,2007,Lower bound of forecast range,2.5
Processed fruits & vegetables,September,2007,2007,Upper bound of forecast range,3.5
Processed fruits & vegetables,October,2007,2007,Lower bound of forecast range,3.0
Processed fruits & vegetables,October,2007,2007,Upper bound of forecast range,4.0
Processed fruits & vegetables,November,2007,2007,Lower bound of forecast range,3.0
Processed fruits & vegetables,May,2007,2007,Lower bound of forecast range,2.5
Fresh vegetables,August,2007,2007,Upper bound of forecast range,5.0
Fresh vegetables,August,2007,2007,Lower bound of forecast range,4.0
Fresh vegetables,July,2007,2007,Upper bound of forecast range,6.0
Fresh fruits,May,2007,2007,Lower bound of forecast range,5.0
Fresh fruits,May,2007,2007,Upper bound of forecast range,6.0
Fresh fruits,June,2007,2007,Lower bound of forecast range,6.0
Fresh fruits,June,2007,2007,Upper bound of forecast range,7.0
Fresh fruits,July,2007,2007,Lower bound of forecast range,5.5
Fresh fruits,July,2007,2007,Upper bound of forecast range,6.5
Fresh fruits,August,2007,2007,Lower bound of forecast range,3.0
Fresh fruits,August,2007,2007,Upper bound of forecast range,4.0
Fresh fruits,September,2007,2007,Lower bound of forecast range,3.0
Fresh fruits,September,2007,2007,Upper bound of forecast range,4.0
Fresh fruits,October,2007,2007,Lower bound of forecast range,3.0
Fresh fruits,October,2007,2007,Upper bound of forecast range,4.0
Fresh fruits,November,2007,2007,Lower bound of forecast range,3.0
Fresh fruits,November,2007,2007,Upper bound of forecast range,4.0
Fresh vegetables,January,2007,2007,Lower bound of forecast range,3.0
Fresh vegetables,January,2007,2007,Upper bound of forecast range,4.0
Fresh vegetables,February,2007,2007,Lower bound of forecast range,3.0
Fresh vegetables,February,2007,2007,Upper bound of forecast range,4.0
Fresh vegetables,March,2007,2007,Lower bound of forecast range,3.5
Fresh vegetables,March,2007,2007,Upper bound of forecast range,4.5
Fresh vegetables,April,2007,2007,Lower bound of forecast range,4.5
Fresh vegetables,April,2007,2007,Upper bound of forecast range,5.5
Fresh vegetables,May,2007,2007,Lower bound of forecast range,5.0
Fresh vegetables,May,2007,2007,Upper bound of forecast range,6.0
Fresh vegetables,June,2007,2007,Lower bound of forecast range,5.0
Fresh vegetables,June,2007,2007,Upper bound of forecast range,6.0
Fresh vegetables,July,2007,2007,Lower bound of forecast range,5.0
Processed fruits & vegetables,November,2007,2007,Upper bound of forecast range,4.0
Meats,April,2007,2007,Upper bound of forecast range,1.0
Sugar and sweets,January,2007,2007,Lower bound of forecast range,2.5
Sugar and sweets,February,2007,2007,Lower bound of forecast range,2.5
Cereals and bakery products,July,2007,2007,Lower bound of forecast range,4.0
Cereals and bakery products,July,2007,2007,Upper bound of forecast range,5.0
Cereals and bakery products,August,2007,2007,Lower bound of forecast range,4.0
Cereals and bakery products,August,2007,2007,Upper bound of forecast range,5.0
Cereals and bakery products,September,2007,2007,Lower bound of forecast range,4.0
Cereals and bakery products,September,2007,2007,Upper bound of forecast range,5.0
Cereals and bakery products,October,2007,2007,Lower bound of forecast range,4.0
Cereals and bakery products,October,2007,2007,Upper bound of forecast range,5.0
Cereals and bakery products,November,2007,2007,Lower bound of forecast range,4.0
Cereals and bakery products,November,2007,2007,Upper bound of forecast range,5.0
Nonalcoholic beverages,January,2007,2007,Lower bound of forecast range,1.5
Nonalcoholic beverages,January,2007,2007,Upper bound of forecast range,2.5
Cereals and bakery products,June,2007,2007,Upper bound of forecast range,4.0
Nonalcoholic beverages,February,2007,2007,Lower bound of forecast range,2.0
Nonalcoholic beverages,March,2007,2007,Lower bound of forecast range,2.0
Nonalcoholic beverages,March,2007,2007,Upper bound of forecast range,3.0
Nonalcoholic beverages,April,2007,2007,Lower bound of forecast range,2.5
Nonalcoholic beverages,April,2007,2007,Upper bound of forecast range,3.5
Nonalcoholic beverages,May,2007,2007,Lower bound of forecast range,2.5
